customer_id,seller_id,order_id,customer_age,account_age_days,total_orders,total_returns,product_category,product_price,order_value,seller_rating,seller_defect_rate,delivery_days,distance_km,product_weight_kg,return_reason,payment_method,shipping_method,customer_segment,device_type,avg_days_to_return,days_since_last_purchase,num_payment_methods_used,used_multiple_addresses,used_multiple_payment_methods,return_without_tags,packaging_damaged_claim,is_holiday_purchase,return_percentage,is_luxury_product,is_high_value_order,price_category,seller_reliability_score,delivery_risk_score,customer_lifetime_value,avg_order_value,is_seasonal_return,customer_risk_score,fraud_risk_raw_score,is_fraud
CUST100013,SELL1448,ORD500013,57,1638,4,0,Fashion,127.76,123.15,3.77,0.0621,5,109.7,1.67,Wrong Item Delivered,UPI,Same Day,Regular,Mobile Web,5.3,153,1,False,False,False,False,True,0.0,0,0,Premium,70.72,20.19,123.15,30.79,1,28.82,0.0996,0
CUST100014,SELL1179,ORD500014,55,2454,17,4,Toys,112.7,113.2,4.64,0.1132,3,26.1,0.88,Defective / Not Working,Wallet,Express,New,Desktop Web,5.1,370,1,True,False,False,False,False,23.53,0,0,Premium,82.3,9.98,113.2,6.66,0,39.64,0.1966,0
CUST100015,SELL1382,ORD500015,58,2135,9,2,Mobile Accessories,72.01,91.06,4.08,0.0238,2,172.0,1.02,Not as Described,Credit Card,Same Day,Regular,Desktop Web,4.1,52,4,False,True,False,False,False,22.22,0,0,Mid-Range,79.66,14.97,91.06,10.12,0,40.22,0.1699,0
CUST100016,SELL1276,ORD500016,44,950,10,2,Sports,31.47,43.93,4.26,0.1691,3,316.8,1.69,Not as Described,Cash on Delivery,Same Day,Regular,Mobile App,3.6,330,3,False,True,True,False,False,20.0,0,0,Mid-Range,70.79,25.61,43.93,4.39,0,39.8,0.2945,1
CUST100017,SELL1498,ORD500017,24,1957,12,2,Toys,56.99,67.57,4.07,0.131,6,90.9,2.2,Changed Mind,Credit Card,Express,New,Desktop Web,1.9,331,3,False,True,True,True,False,16.67,0,0,Mid-Range,70.74,22.03,67.57,5.63,0,40.28,0.4072,1
CUST100018,SELL1127,ORD500018,61,240,10,2,Footwear,50.44,50.27,3.82,0.1338,7,268.2,1.11,Damaged in Transit,UPI,Standard,Regular,Mobile App,0.9,26,1,False,False,True,False,True,20.0,0,0,Mid-Range,66.18,34.43,50.27,5.03,1,56.37,0.1899,0
CUST100019,SELL1141,ORD500019,41,2143,7,1,Toys,145.12,153.77,3.04,0.0814,7,207.9,2.57,Better Price Found,Debit Card,Same Day,Loyal,Mobile Web,0.1,357,1,False,False,False,True,False,14.29,0,0,Premium,55.85,31.18,153.77,21.97,0,41.31,0.1144,0
CUST100020,SELL1357,ORD500020,44,967,18,11,Electronics,15.85,15.9,4.64,0.135,6,89.2,2.07,Better Price Found,UPI,Same Day,Regular,Mobile App,1.2,185,1,False,False,False,False,True,61.11,0,0,Budget,80.27,21.94,15.9,0.88,1,61.1,0.2942,1
CUST100021,SELL1131,ORD500021,37,1900,9,3,Mobile Accessories,68.16,94.66,4.69,0.0723,9,88.7,5.93,Late Delivery,Cash on Delivery,Express,Regular,Mobile App,3.6,291,2,True,False,False,False,True,33.33,0,0,Mid-Range,87.02,30.49,94.66,10.52,1,45.8,0.322,1
CUST100022,SELL1181,ORD500022,27,2426,13,5,Sports,35.62,34.46,5.0,0.0389,4,126.6,2.54,Damaged in Transit,Cash on Delivery,Same Day,Regular,Mobile Web,4.8,251,3,False,True,False,True,False,38.46,0,0,Mid-Range,96.11,18.24,34.46,2.65,0,46.71,0.3575,1
CUST100023,SELL1149,ORD500023,66,1758,25,9,Fashion,163.31,219.73,3.39,0.1809,3,198.9,0.85,Better Price Found,Debit Card,Standard,Regular,Mobile Web,0.5,110,2,False,False,True,False,False,36.0,0,1,Premium,55.53,19.27,219.73,8.79,0,50.62,0.2364,0
CUST100024,SELL1483,ORD500024,58,2300,20,3,Beauty,212.97,272.48,4.45,0.0214,3,195.2,0.66,Defective / Not Working,Net Banking,Express,New,Desktop Web,0.9,197,3,False,True,True,False,True,15.0,0,1,Premium,87.1,19.07,272.48,13.62,1,40.7,0.2196,0
CUST100025,SELL1484,ORD500025,51,26,8,1,Beauty,212.7,213.19,3.48,0.0393,5,234.9,3.3,Damaged in Transit,Cash on Delivery,Standard,VIP,Desktop Web,4.5,9,2,False,False,True,False,False,12.5,0,1,Premium,66.86,26.92,213.19,26.65,0,54.66,0.3142,1
CUST100026,SELL1353,ORD500026,38,427,5,0,Fashion,114.26,119.68,3.5,0.0152,6,192.0,0.57,Not as Described,Cash on Delivery,Express,New,Desktop Web,11.8,291,2,True,False,False,True,False,0.0,0,0,Premium,68.94,27.47,119.68,23.94,0,29.53,0.2066,0
CUST100027,SELL1198,ORD500027,60,1565,12,4,Electronics,192.35,189.32,3.2,0.1177,4,183.4,1.63,Late Delivery,Debit Card,Standard,Loyal,Mobile Web,5.1,323,1,False,False,False,False,False,33.33,0,0,Premium,56.47,21.29,189.32,15.78,0,44.05,0.0391,0
CUST100028,SELL1074,ORD500028,46,1351,9,1,Beauty,72.52,87.33,4.26,0.0345,2,53.7,3.21,Defective / Not Working,Cash on Delivery,Standard,Regular,Mobile App,9.4,133,1,False,False,False,False,False,11.11,0,0,Mid-Range,82.26,8.6,87.33,9.7,0,29.03,0.0987,0
CUST100029,SELL1154,ORD500029,41,302,8,3,Toys,119.61,112.52,4.44,0.0574,6,151.4,2.22,Quality Issue,Cash on Delivery,Same Day,New,Mobile Web,0.0,38,2,False,False,False,False,True,37.5,0,0,Premium,83.7,25.29,112.52,14.06,1,63.6,0.1699,0
CUST100030,SELL1257,ORD500030,41,1796,11,3,Footwear,121.19,127.68,4.93,0.0801,6,121.1,3.86,Wrong Item Delivered,Debit Card,Same Day,Loyal,Mobile App,4.0,42,3,False,True,False,False,False,27.27,0,0,Premium,90.7,23.66,127.68,11.61,0,42.6,0.0613,0
CUST100031,SELL1001,ORD500031,29,147,12,2,Beauty,38.71,49.4,4.16,0.1235,3,83.8,6.01,Missing Parts,Net Banking,Same Day,Regular,Mobile App,0.3,123,1,False,False,False,False,False,16.67,0,0,Mid-Range,72.92,13.08,49.4,4.12,0,58.12,0.1067,0
CUST100032,SELL1401,ORD500032,22,2476,12,6,Footwear,123.92,157.69,3.97,0.1781,6,190.1,4.37,Size Issue,Cash on Delivery,Express,Loyal,Desktop Web,1.4,261,1,False,False,False,False,True,50.0,0,0,Premium,65.26,27.37,157.69,13.14,1,55.87,0.16,0
CUST100033,SELL1119,ORD500033,46,391,5,1,Beauty,108.78,106.59,4.59,0.0853,6,243.2,0.34,Damaged in Transit,Net Banking,Express,New,Mobile Web,28.7,170,3,False,True,False,False,False,20.0,0,0,Premium,83.97,30.22,106.59,21.32,0,19.8,0.0759,0
CUST100034,SELL1087,ORD500034,64,1114,14,2,Jewelry,224.72,272.78,4.3,0.0977,4,168.2,1.09,Changed Mind,UPI,Same Day,Regular,Mobile Web,0.6,88,2,False,False,False,False,False,14.29,0,1,Premium,77.6,20.48,272.78,19.48,0,40.73,0.1208,0
CUST100035,SELL1333,ORD500035,21,2058,7,1,Toys,81.83,76.71,4.01,0.0477,6,67.2,1.58,Not as Described,Debit Card,Standard,Regular,Desktop Web,2.3,393,4,False,True,False,False,False,14.29,0,0,Mid-Range,76.37,20.76,76.71,10.96,0,38.75,0.1829,0
CUST100036,SELL1230,ORD500036,62,1285,10,3,Mobile Accessories,269.07,288.06,3.93,0.1644,5,107.2,0.1,Late Delivery,Net Banking,Same Day,Loyal,Desktop Web,6.8,191,1,False,False,False,False,True,30.0,1,1,Premium,65.68,20.05,288.06,28.81,1,40.57,0.0,0
CUST100037,SELL1397,ORD500037,61,1859,9,1,Toys,45.97,47.97,4.43,0.0814,6,120.1,0.21,Wrong Item Delivered,Debit Card,Express,Regular,Mobile App,1.8,49,2,False,False,False,False,False,11.11,0,0,Mid-Range,81.39,23.6,47.97,5.33,0,37.9,0.136,0
CUST100038,SELL1232,ORD500038,32,1759,6,1,Mobile Accessories,195.38,251.82,3.87,0.089,9,61.1,1.77,Wrong Item Delivered,Net Banking,Express,Loyal,Desktop Web,0.2,271,1,False,False,False,False,False,16.67,0,1,Premium,70.51,29.0,251.82,41.97,0,42.27,0.0772,0
CUST100039,SELL1157,ORD500039,50,2371,6,3,Footwear,212.78,241.92,3.09,0.1745,7,57.0,0.76,Wrong Item Delivered,Wallet,Standard,Regular,Mobile App,1.1,95,2,False,False,True,False,False,50.0,0,1,Premium,51.02,23.07,241.92,40.32,0,56.22,0.2592,1
CUST100040,SELL1463,ORD500040,26,1160,10,2,Books,64.66,60.75,3.69,0.0294,4,99.9,2.18,Wrong Item Delivered,Wallet,Express,New,Desktop Web,0.4,8,1,True,False,False,False,False,20.0,0,0,Mid-Range,71.63,16.8,60.75,6.08,0,43.53,0.3389,1
CUST100041,SELL1046,ORD500041,57,2447,2,0,Sports,145.48,164.74,5.0,0.1017,4,129.7,2.37,Changed Mind,Net Banking,Express,Loyal,Mobile App,2.3,68,2,False,False,False,False,False,0.0,0,0,Premium,89.83,18.4,164.74,82.37,0,32.32,0.0445,0
CUST100042,SELL1181,ORD500042,54,1292,10,0,Home & Kitchen,97.13,91.29,4.77,0.0319,7,48.1,1.45,Not as Described,Credit Card,Standard,Regular,Desktop Web,7.6,74,2,False,False,False,False,False,0.0,0,0,Mid-Range,92.36,22.59,91.29,9.13,0,26.13,0.0817,0
CUST100043,SELL1074,ORD500043,36,2233,7,2,Jewelry,64.76,79.82,4.45,0.1791,6,115.4,2.2,Damaged in Transit,Cash on Delivery,Same Day,Regular,Mobile Web,1.3,136,4,False,True,False,False,True,28.57,0,0,Mid-Range,73.06,23.35,79.82,11.4,1,46.34,0.3124,1
CUST100044,SELL1217,ORD500044,21,1831,8,1,Mobile Accessories,85.31,86.65,5.0,0.0486,7,14.0,0.69,Not as Described,Wallet,Standard,Loyal,Mobile Web,1.2,331,2,False,False,False,False,False,12.5,0,0,Mid-Range,95.14,20.75,86.65,10.83,0,39.22,0.0527,0
CUST100045,SELL1331,ORD500045,68,333,11,2,Jewelry,162.14,216.59,4.24,0.0272,4,134.0,0.51,Defective / Not Working,Wallet,Same Day,Loyal,Desktop Web,3.2,176,3,True,True,False,True,False,18.18,0,1,Premium,82.49,18.64,216.59,19.69,0,50.32,0.2651,1
CUST100046,SELL1289,ORD500046,41,1609,9,1,Jewelry,165.32,214.36,4.42,0.0553,8,191.0,0.65,Damaged in Transit,Net Banking,Same Day,New,Desktop Web,5.9,65,3,False,True,False,False,False,11.11,0,1,Premium,83.51,33.13,214.36,23.82,0,33.12,0.1673,0
CUST100047,SELL1051,ORD500047,64,2196,2,1,Beauty,118.57,152.47,4.02,0.0984,5,96.0,2.99,Size Issue,Net Banking,Standard,Regular,Desktop Web,4.4,1,2,True,False,True,False,False,50.0,0,0,Premium,72.49,19.45,152.47,76.24,0,52.37,0.3885,1
CUST100048,SELL1343,ORD500048,53,321,17,5,Footwear,96.43,128.83,4.15,0.0298,3,54.7,0.72,Size Issue,UPI,Same Day,Loyal,Mobile Web,12.9,33,1,False,False,False,False,False,29.41,0,0,Mid-Range,80.53,11.51,128.83,7.58,0,44.39,0.0,0
CUST100049,SELL1258,ORD500049,58,2096,11,1,Home & Kitchen,136.3,152.0,4.08,0.0335,2,120.3,1.07,Missing Parts,UPI,Express,Loyal,Desktop Web,2.3,356,3,False,True,False,False,True,9.09,0,0,Premium,78.87,12.18,152.0,13.82,1,36.41,0.144,0
CUST100050,SELL1063,ORD500050,57,264,6,1,Sports,126.01,173.32,5.0,0.0446,6,342.2,0.43,Late Delivery,Cash on Delivery,Same Day,Regular,Mobile Web,2.3,229,1,False,False,False,False,False,16.67,0,0,Premium,95.54,35.55,173.32,28.89,0,52.59,0.163,0
CUST100051,SELL1272,ORD500051,28,2177,14,6,Fashion,119.36,131.72,4.33,0.0972,4,120.5,0.72,Better Price Found,Debit Card,Standard,Loyal,Desktop Web,1.6,108,3,False,True,False,True,False,42.86,0,0,Premium,78.18,17.91,131.72,9.41,0,52.42,0.1976,0
CUST100052,SELL1337,ORD500052,36,1972,15,6,Fashion,30.92,31.24,5.0,0.0809,2,73.8,1.23,Damaged in Transit,Cash on Delivery,Express,Regular,Desktop Web,1.5,304,3,True,True,False,False,False,40.0,0,0,Mid-Range,91.91,9.68,31.24,2.08,0,51.25,0.2984,1
CUST100053,SELL1425,ORD500053,42,380,20,3,Mobile Accessories,130.97,180.86,4.0,0.1159,9,81.4,0.82,Not as Described,Wallet,Same Day,Loyal,Mobile App,2.8,327,1,False,False,False,False,False,15.0,0,0,Premium,70.73,30.09,180.86,9.04,0,48.07,0.0222,0
CUST100054,SELL1147,ORD500054,43,1816,15,0,Books,41.26,42.31,4.23,0.0649,3,191.6,4.72,Quality Issue,Credit Card,Same Day,Regular,Mobile App,17.3,256,2,False,False,False,False,False,0.0,0,0,Mid-Range,79.11,18.88,42.31,2.82,0,14.82,0.0153,0
CUST100055,SELL1296,ORD500055,20,292,11,2,Beauty,214.61,201.01,3.73,0.0776,7,120.8,6.14,Defective / Not Working,Wallet,Same Day,Regular,Mobile Web,5.3,313,2,False,False,False,True,False,18.18,0,1,Premium,68.81,26.5,201.01,18.27,0,49.0,0.1641,0
CUST100056,SELL1338,ORD500056,46,1420,4,0,Fashion,132.29,176.65,3.44,0.1082,4,252.1,0.17,Quality Issue,Net Banking,Express,Loyal,Desktop Web,11.4,301,2,False,False,False,False,False,0.0,0,0,Premium,61.36,24.99,176.65,44.16,0,21.7,0.0,0
CUST100057,SELL1334,ORD500057,26,2309,11,3,Books,158.98,156.54,3.85,0.0187,7,62.9,5.86,Missing Parts,Credit Card,Standard,New,Mobile App,1.7,186,1,False,False,False,False,True,27.27,0,0,Premium,75.56,23.38,156.54,14.23,1,45.29,0.1927,0
CUST100058,SELL1080,ORD500058,56,515,8,0,Jewelry,17.06,22.74,4.43,0.0645,4,108.0,0.53,Changed Mind,Wallet,Express,New,Mobile App,1.2,201,2,False,False,True,False,False,0.0,0,0,Budget,82.89,17.24,22.74,2.84,0,39.49,0.2333,0
CUST100059,SELL1389,ORD500059,53,435,5,3,Electronics,184.16,205.43,4.1,0.0657,7,103.6,1.15,Wrong Item Delivered,Cash on Delivery,Standard,Regular,Mobile Web,10.9,90,1,False,False,False,True,False,60.0,0,1,Premium,76.61,25.57,205.43,41.09,0,57.37,0.2061,0
CUST100060,SELL1136,ORD500060,65,1057,4,1,Beauty,193.43,253.62,2.58,0.0672,7,131.1,0.6,Quality Issue,Wallet,Same Day,Regular,Mobile Web,13.0,327,2,True,False,False,False,False,25.0,0,1,Premium,48.13,27.05,253.62,63.4,0,31.08,0.1212,0
CUST100061,SELL1027,ORD500061,56,922,17,6,Electronics,23.55,24.68,4.73,0.0469,5,69.7,7.11,Better Price Found,Cash on Delivery,Standard,Regular,Mobile App,5.2,343,1,False,False,False,False,True,35.29,0,0,Budget,90.16,18.03,24.68,1.45,1,44.81,0.1421,0
CUST100062,SELL1302,ORD500062,37,122,6,1,Footwear,28.72,36.27,4.92,0.0805,10,129.4,0.8,Not as Described,UPI,Express,New,Mobile App,2.7,105,3,False,True,False,False,False,16.67,0,0,Budget,90.48,35.53,36.27,6.05,0,56.01,0.1969,0
CUST100063,SELL1010,ORD500063,68,1140,14,4,Beauty,333.94,391.46,4.11,0.0764,4,200.4,3.83,Wrong Item Delivered,Wallet,Same Day,New,Desktop Web,1.7,165,4,False,True,False,False,True,28.57,1,1,Luxury,75.92,22.21,391.46,27.96,1,45.87,0.2281,0
CUST100064,SELL1278,ORD500064,39,649,16,4,Beauty,162.04,150.35,3.86,0.1444,6,41.5,0.81,Changed Mind,Debit Card,Standard,Regular,Mobile Web,7.2,52,5,False,True,False,False,False,25.0,0,0,Premium,66.05,19.37,150.35,9.4,0,40.07,0.1433,0
CUST100065,SELL1180,ORD500065,34,311,4,0,Jewelry,107.12,144.93,2.86,0.0907,3,60.1,0.49,Size Issue,Debit Card,Same Day,New,Desktop Web,2.8,383,1,False,False,False,False,False,0.0,0,0,Premium,52.01,11.8,144.93,36.23,0,43.21,0.1225,0
CUST100066,SELL1154,ORD500066,65,690,4,1,Books,31.86,37.99,4.14,0.0213,4,100.2,0.44,Changed Mind,Debit Card,Standard,Regular,Mobile Web,0.7,160,4,False,True,False,False,False,25.0,0,0,Mid-Range,81.04,16.82,37.99,9.5,0,46.53,0.247,1
CUST100067,SELL1229,ORD500067,37,52,8,2,Sports,80.98,96.55,3.64,0.164,3,70.5,1.61,Wrong Item Delivered,Credit Card,Express,New,Mobile App,0.2,25,4,False,True,False,False,False,25.0,0,0,Mid-Range,60.86,12.36,96.55,12.07,0,64.59,0.1583,0
CUST100068,SELL1271,ORD500068,21,2287,4,0,Jewelry,89.99,82.68,3.09,0.0244,10,159.4,0.17,Quality Issue,Wallet,Express,New,Mobile App,8.3,120,3,False,True,False,False,False,0.0,0,0,Mid-Range,60.29,37.14,82.68,20.67,0,25.32,0.1544,0
CUST100069,SELL1126,ORD500069,42,2485,17,5,Sports,65.41,70.34,4.76,0.1148,5,166.4,2.22,Better Price Found,Wallet,Standard,Regular,Mobile App,1.3,286,1,False,False,False,False,False,29.41,0,0,Mid-Range,84.27,23.24,70.34,4.14,0,46.72,0.1723,0
CUST100070,SELL1162,ORD500070,59,919,17,2,Electronics,115.66,122.96,4.96,0.1673,4,43.3,0.81,Missing Parts,Wallet,Express,Regular,Mobile App,0.8,107,1,False,False,False,False,True,11.76,0,0,Premium,82.6,13.76,122.96,7.23,1,39.36,0.0944,0
CUST100071,SELL1086,ORD500071,27,2191,7,1,Beauty,170.7,160.89,3.57,0.0433,6,25.3,0.22,Defective / Not Working,Debit Card,Standard,Loyal,Desktop Web,2.0,47,3,False,True,False,False,False,14.29,0,0,Premium,68.31,18.5,160.89,22.98,0,39.1,0.2118,0
CUST100072,SELL1316,ORD500072,42,1153,9,0,Sports,128.03,164.38,3.75,0.0935,8,154.2,1.09,Changed Mind,Net Banking,Express,New,Desktop Web,0.0,0,6,False,True,False,True,False,0.0,0,0,Premium,67.99,31.15,164.38,18.26,0,35.0,0.3016,1
CUST100073,SELL1484,ORD500073,24,2280,26,6,Fashion,163.62,173.26,4.18,0.0173,3,43.2,0.56,Size Issue,Debit Card,Same Day,Regular,Mobile Web,8.7,255,1,True,False,False,False,False,23.08,0,0,Premium,82.15,10.89,173.26,6.66,0,35.24,0.2803,1
CUST100074,SELL1183,ORD500074,53,433,11,5,Footwear,94.6,95.66,4.81,0.1009,7,113.8,1.46,Not as Described,Cash on Delivery,Same Day,VIP,Mobile App,2.2,159,3,False,True,False,False,False,45.45,0,0,Mid-Range,86.49,26.12,95.66,8.7,0,61.02,0.3451,1
CUST100075,SELL1087,ORD500075,42,712,9,1,Footwear,11.8,16.35,4.09,0.1423,6,184.1,0.51,Damaged in Transit,Credit Card,Same Day,VIP,Mobile Web,13.5,148,1,False,False,False,False,False,11.11,0,0,Budget,70.16,27.04,16.35,1.82,0,24.74,0.0,0
CUST100076,SELL1420,ORD500076,35,1849,12,0,Footwear,42.83,55.36,4.37,0.1027,4,26.1,0.11,Wrong Item Delivered,Wallet,Same Day,Loyal,Mobile App,4.1,196,2,False,False,False,True,False,0.0,0,0,Mid-Range,78.42,12.83,55.36,4.61,0,30.22,0.0395,0
CUST100077,SELL1497,ORD500077,29,551,17,4,Toys,85.59,105.38,4.54,0.0604,4,72.2,1.4,Better Price Found,Cash on Delivery,Express,Regular,Desktop Web,11.0,339,3,True,True,False,False,True,23.53,0,0,Mid-Range,85.32,15.31,105.38,6.2,1,37.66,0.2265,0
CUST100078,SELL1499,ORD500078,47,2059,10,3,Fashion,110.32,130.36,4.28,0.0748,5,109.5,0.82,Late Delivery,Credit Card,Same Day,New,Mobile Web,1.1,324,3,True,True,True,False,False,30.0,0,0,Premium,79.2,20.18,130.36,13.04,0,47.22,0.3736,1
CUST100079,SELL1427,ORD500079,52,1065,12,3,Beauty,148.53,182.67,3.81,0.1049,4,129.4,1.99,Defective / Not Working,Wallet,Same Day,VIP,Mobile Web,0.3,73,4,True,True,False,False,False,25.0,0,0,Premium,68.21,18.39,182.67,15.22,0,45.9,0.343,1
CUST100080,SELL1018,ORD500080,66,1010,17,0,Fashion,91.8,126.63,2.98,0.0526,6,47.7,1.31,Changed Mind,Cash on Delivery,Same Day,Regular,Desktop Web,0.5,178,1,False,False,False,False,False,0.0,0,0,Mid-Range,56.47,19.71,126.63,7.45,0,34.42,0.1628,0
CUST100081,SELL1362,ORD500081,40,1133,23,4,Footwear,120.34,155.62,3.7,0.0734,4,131.8,4.4,Damaged in Transit,Credit Card,Express,VIP,Mobile App,6.2,65,2,False,False,False,False,False,17.39,0,0,Premium,68.57,18.52,155.62,6.77,0,35.59,0.0,0
CUST100082,SELL1448,ORD500082,26,1994,7,1,Beauty,251.49,249.38,4.13,0.0079,4,153.4,0.57,Changed Mind,Net Banking,Standard,VIP,Mobile App,19.4,14,1,False,False,False,True,False,14.29,1,1,Premium,81.95,19.68,249.38,35.63,0,18.8,0.0725,0
CUST100083,SELL1157,ORD500083,61,14,13,1,Beauty,141.76,152.73,4.66,0.097,5,29.8,2.01,Defective / Not Working,Wallet,Express,Regular,Mobile Web,4.5,149,2,False,False,False,False,False,7.69,0,0,Premium,84.16,15.89,152.73,11.75,0,52.83,0.0332,0
CUST100084,SELL1129,ORD500084,50,1876,7,3,Home & Kitchen,118.2,119.1,3.32,0.127,5,63.4,1.86,Changed Mind,Debit Card,Standard,Regular,Mobile Web,6.3,209,2,False,False,False,True,True,42.86,0,0,Premium,57.97,17.7,119.1,17.01,1,46.94,0.1478,0
CUST100085,SELL1001,ORD500085,54,1948,13,2,Books,118.69,148.7,4.39,0.0136,6,70.6,1.0,Wrong Item Delivered,Cash on Delivery,Express,Regular,Mobile App,8.2,43,3,False,True,False,True,False,15.38,0,0,Premium,86.61,20.94,148.7,11.44,0,32.35,0.178,0
CUST100086,SELL1160,ORD500086,23,2053,11,1,Jewelry,34.64,42.43,3.98,0.0876,4,105.6,0.97,Size Issue,Wallet,Standard,Loyal,Desktop Web,10.6,323,2,False,False,True,False,False,9.09,0,0,Mid-Range,72.63,17.11,42.43,3.86,0,26.72,0.0726,0
CUST100087,SELL1116,ORD500087,34,2491,7,0,Footwear,122.2,145.47,3.63,0.074,6,234.0,1.85,Late Delivery,Debit Card,Standard,Regular,Desktop Web,0.6,220,1,False,False,False,False,True,0.0,0,0,Premium,67.23,29.73,145.47,20.78,1,34.3,0.0883,0
CUST100088,SELL1496,ORD500088,57,1955,7,2,Home & Kitchen,114.44,125.77,4.05,0.1054,3,97.7,3.0,Changed Mind,Cash on Delivery,Express,New,Desktop Web,2.2,30,3,False,True,False,False,False,28.57,0,0,Premium,72.46,13.83,125.77,17.97,0,45.29,0.2713,1
CUST100089,SELL1446,ORD500089,61,1322,13,2,Beauty,33.27,45.0,4.07,0.055,3,100.3,1.6,Wrong Item Delivered,Wallet,Same Day,New,Desktop Web,14.9,145,3,True,True,False,False,False,15.38,0,0,Mid-Range,76.92,13.97,45.0,3.46,0,24.54,0.151,0
CUST100090,SELL1469,ORD500090,40,1165,8,1,Electronics,227.74,303.05,4.11,0.0793,4,86.7,3.93,Wrong Item Delivered,UPI,Same Day,Regular,Mobile App,4.0,237,4,False,True,False,False,True,12.5,0,1,Premium,75.68,16.09,303.05,37.88,1,35.96,0.0506,0
